scenario_type,classification,route_count,route_ids,towns,reason
SignalizedJunctionLeftTurn,core,5,3936;4183;4468;4669;4683,Town12;Town12;Town12;Town12;Town12,Ego turn/yield/signal compliance are central; lane-position mistake and red-light/failure-to-yield infraction are possible.
SignalizedJunctionLeftTurnEnterFlow,core,5,28099;28198;28241;28243;28330,Town04;Town15;Town12;Town12;Town12,Ego controls left-turn merge; late/awkward but safe merge vs signal or priority violation.
SignalizedJunctionRightTurn,core,5,2050;4937;26956;26966;27018,Town12;Town12;Town05;Town05;Town15,"Strongest first case: late lane positioning as mistake, turn on red as infraction."
StaticCutIn,exclude,5,2709;2715;25358;26396;26405,Town12;Town12;Town06;Town05;Town15,"NPC initiates the critical behavior; the triplet would mostly reduce to timely brake, late brake, collision."
T_Junction,core,5,26458;28035;28048;28111;28154,Town07;Town01;Town02;Town04;Town10HD,Ego-controlled turn/yield decision; late positioning or hesitation vs failure-to-yield/route violation.
VanillaNonSignalizedTurn,core,5,2390;2397;2403;3178;3890,Town12;Town12;Town12;Town12;Town13,Simple ego turn suitable for lane/path mistake and rule/route violation variants.
VanillaNonSignalizedTurnEncounterStopsign,core,5,2416;3184;3189;3904;3905,Town12;Town12;Town12;Town13;Town13,Clear ego duty; poor approach/stop placement vs stop-sign violation.
VanillaSignalizedTurnEncounterGreenLight,core,5,14842;14862;14909;25968;25975,Town12;Town12;Town12;Town07;Town07,Ego turn execution is central; lane/path mistake vs improper lane use or collision.
VanillaSignalizedTurnEncounterRedLight,core,5,2373;3144;3865;3869;3876,Town12;Town12;Town13;Town13;Town13,Clear signal-controlled ego action; poor lane positioning vs red-light violation.
VehicleOpensDoorTwoWays,exclude,5,3464;3472;3476;3482;25928,Town13;Town13;Town13;Town13;Town11,External door-opening hazard dominates; triplet is mainly avoidance timing versus collision.
VehicleTurningRoute,exclude,5,2144;2943;3708;3712;3717,Town12;Town12;Town13;Town13;Town13,External bicycle crossing dominates; ego triplet is mostly brake timing.
VehicleTurningRoutePedestrian,exclude,5,2164;3731;3737;10857;11381,Town12;Town13;Town13;Town12;Town12,External pedestrian crossing dominates; triplet mainly becomes emergency-braking severity.
YieldToEmergencyVehicle,optional,5,3364;3373;3378;3380;25378,Town13;Town13;Town13;Town13;Town03,"Ego duty is central, but failure-to-yield is not always directly captured by standard Leaderboard metrics."
