# route,RouteScenario_0_rep0_Town10HD_SignalizedJunctionRightTurn_Weather0_06_11_07_50_56
# scenario,SignalizedJunctionRightTurn
# completion_status,completed_degraded
# total_frames,669
# total_duration_s,66.9
# scenario_window_s,0.7–56.6

t_s,event_type,body
23.8,[LANE→RIGHT],"merged right from left lane into right lane | scene: junction=no | vehicle 5.3m-behind(opp,25km/h) | vehicle 9.9m-behind(opp,31km/h) | vehicle 25.0m-behind(opp,32km/h) | vehicle 27.7m-behind(same,30km/h) | vehicle 32.0m-behind(opp,19km/h) | vehicle 33.5m-behind(same,0km/h)"
24.4,[ACTION],"deviated slightly right at constant speed for 0.6s | right lane | junction=no | vehicle 8.7m-behind(opp,30km/h) | vehicle 10.6m-behind(opp,30km/h) | vehicle 16.8m-ahead(same,12km/h) | vehicle 17.3m-behind(same,29km/h) | vehicle 20.8m-ahead(same,29km/h) | vehicle 22.1m-ahead(same,8km/h) | vehicle 25.9m-behind(opp,24km/h) | vehicle 28.3m-ahead(opp,21km/h) | vehicle 34.9m-ahead(same,28km/h)"
25.0,[INFRACTION],collision | object=vehicle_68 | phase=merging
25.3,[ACTION],"deviated slightly right while decelerating for 1.7s | right lane | junction=no | vehicle 5.1m-ahead(same,31km/h) | vehicle 7.0m-behind(same,29km/h) | vehicle 16.6m-behind(opp,25km/h) | vehicle 17.2m-behind(opp,29km/h) | vehicle 25.2m-ahead(same,29km/h) | vehicle 30.4m-ahead(same,45km/h) | vehicle 30.7m-ahead(same,25km/h) | vehicle 36.4m-ahead(same,36km/h) | vehicle 38.8m-ahead(opp,29km/h) | red_light 75.1m"
28.1,[ACTION],"went straight at constant speed for 0.7s | right lane | junction=no | vehicle 6.0m-behind(same,29km/h) | vehicle 10.2m-behind(opp,29km/h) | vehicle 10.5m-behind(opp,29km/h) | vehicle 12.5m-ahead(same,2km/h) | vehicle 12.8m-behind(same,19km/h) | vehicle 18.2m-ahead(same,-0km/h) | vehicle 20.4m-behind(same,20km/h) | vehicle 26.5m-ahead(same,7km/h) | vehicle 27.9m-ahead(same,-0km/h) | red_light 58.7m"
29.0,[ACTION],"went straight at constant speed for 0.8s | right lane | junction=no | vehicle 5.9m-behind(same,6km/h) | vehicle 10.0m-behind(opp,29km/h) | vehicle 10.9m-ahead(same,4km/h) | vehicle 11.5m-behind(same,20km/h) | vehicle 16.8m-behind(opp,29km/h) | vehicle 17.7m-ahead(same,0km/h) | vehicle 24.9m-ahead(same,8km/h) | vehicle 26.9m-behind(same,-0km/h) | vehicle 27.4m-ahead(same,0km/h) | vehicle 33.7m-behind(opp,4km/h) | vehicle 37.2m-ahead(same,28km/h) | red_light 58.2m"
31.0,[LANE→LEFT ],"merged left from right lane into left lane | scene: junction=no | vehicle 8.9m-behind(opp,28km/h) | vehicle 10.1m-behind(same,4km/h) | vehicle 10.4m-ahead(opp,29km/h) | vehicle 10.6m-behind(same,3km/h) | vehicle 11.7m-ahead(same,7km/h) | vehicle 15.4m-ahead(same,0km/h) | vehicle 22.0m-behind(same,8km/h) | vehicle 24.7m-ahead(same,-0km/h) | vehicle 25.1m-ahead(same,0km/h) | vehicle 38.9m-behind(same,30km/h) | red_light 56.2m"
32.1,[ACTION],"turned right while decelerating for 0.5s | left lane | junction=no | vehicle 10.4m-ahead(same,8km/h) | vehicle 10.8m-behind(same,2km/h) | vehicle 12.1m-behind(opp,28km/h) | vehicle 12.8m-ahead(same,0km/h) | vehicle 12.8m-ahead(same,-0km/h) | vehicle 19.6m-behind(opp,28km/h) | vehicle 21.8m-ahead(same,-0km/h) | vehicle 22.0m-behind(same,6km/h) | vehicle 22.4m-ahead(same,-0km/h) | vehicle 27.1m-behind(same,1km/h) | red_light 53.6m"
32.9,[ACTION],"went straight at constant speed for 0.7s | left lane | junction=no | vehicle 3.7m-ahead(same,17km/h) | vehicle 9.9m-behind(same,4km/h) | vehicle 11.6m-ahead(same,-0km/h) | vehicle 11.7m-ahead(same,0km/h) | vehicle 20.3m-ahead(same,13km/h) | vehicle 20.6m-ahead(same,0km/h) | vehicle 21.2m-ahead(same,-0km/h) | vehicle 25.2m-behind(same,8km/h) | vehicle 25.4m-behind(opp,28km/h) | vehicle 32.3m-behind(opp,29km/h) | red_light 52.5m"
33.8,[ACTION],"went straight at constant speed for 0.9s | left lane | junction=no | vehicle 3.4m-ahead(same,6km/h) | vehicle 10.4m-behind(same,0km/h) | vehicle 11.1m-ahead(same,0km/h) | vehicle 11.3m-ahead(same,0km/h) | vehicle 12.6m-ahead(same,1km/h) | vehicle 20.1m-ahead(same,-0km/h) | vehicle 20.7m-ahead(same,-0km/h) | vehicle 23.6m-behind(same,5km/h) | vehicle 38.4m-ahead(same,6km/h) | vehicle 39.5m-behind(opp,29km/h) | red_light 52.0m"
34.9,[ACTION],"went straight at constant speed for 3.0s | left lane | junction=no | vehicle 3.4m-ahead(same,-0km/h) | vehicle 10.4m-behind(same,0km/h) | vehicle 10.6m-ahead(same,-0km/h) | vehicle 10.7m-ahead(same,-0km/h) | vehicle 10.7m-ahead(same,0km/h) | vehicle 19.6m-ahead(same,-0km/h) | vehicle 20.2m-ahead(same,0km/h) | vehicle 20.8m-behind(same,9km/h) | vehicle 34.8m-ahead(same,7km/h) | red_light 51.5m"
38.0,[ACTION],"went straight at constant speed for 1.0s | left lane | junction=no | vehicle 3.5m-ahead(same,12km/h) | vehicle 9.6m-behind(same,-0km/h) | vehicle 11.5m-ahead(same,8km/h) | vehicle 12.1m-ahead(same,13km/h) | vehicle 12.5m-ahead(same,15km/h) | vehicle 19.4m-behind(same,8km/h) | vehicle 24.2m-ahead(same,17km/h) | vehicle 24.4m-ahead(same,16km/h) | vehicle 29.6m-ahead(same,-0km/h) | green_light 49.9m"
39.1,[ACTION],"went straight at constant speed for 0.9s | left lane | junction=no | vehicle 8.8m-ahead(same,19km/h) | vehicle 9.2m-ahead(same,4km/h) | vehicle 9.7m-behind(same,0km/h) | vehicle 19.5m-behind(same,-0km/h) | vehicle 21.2m-ahead(same,17km/h) | vehicle 21.8m-ahead(same,18km/h) | vehicle 29.4m-ahead(same,-0km/h) | vehicle 36.9m-ahead(same,30km/h) | vehicle 39.2m-ahead(same,0km/h) | vehicle 39.6m-ahead(same,28km/h) | green_light 49.3m"
40.0,[ACTION],"turned right while accelerating for 0.6s | left lane | junction=no | vehicle 4.7m-ahead(same,19km/h) | vehicle 9.3m-behind(same,-0km/h) | vehicle 11.3m-ahead(same,7km/h) | vehicle 20.0m-ahead(same,3km/h) | vehicle 27.1m-ahead(same,12km/h) | vehicle 29.9m-ahead(same,-0km/h) | vehicle 32.4m-ahead(same,28km/h) | vehicle 39.7m-ahead(same,-0km/h) | green_light 48.8m"
40.0,[INFRACTION],collision | object=vehicle_112 | phase=merging
40.6,[LANE→RIGHT],"merged right from left lane into right lane | scene: junction=no | vehicle 2.3m-ahead(same,11km/h) | vehicle 11.3m-ahead(same,5km/h) | vehicle 14.3m-behind(same,21km/h) | vehicle 21.0m-ahead(same,-0km/h) | vehicle 30.6m-ahead(same,8km/h) | vehicle 30.9m-behind(same,26km/h) | vehicle 38.5m-behind(same,29km/h) | green_light 46.2m"
40.7,[ACTION],"turned left while accelerating for 0.5s | right lane | junction=no | vehicle 2.1m-ahead(same,14km/h) | vehicle 11.8m-ahead(same,7km/h) | vehicle 14.5m-behind(same,10km/h) | vehicle 21.7m-ahead(same,-0km/h) | vehicle 31.0m-ahead(same,0km/h) | vehicle 31.6m-behind(same,27km/h) | vehicle 38.8m-behind(same,28km/h) | green_light 45.5m"
42.0,[ACTION],"turned right while decelerating for 0.6s | right lane | junction=no | vehicle 6.5m-ahead(same,26km/h) | vehicle 16.2m-behind(same,6km/h) | vehicle 16.3m-behind(same,22km/h) | vehicle 28.8m-ahead(same,24km/h) | vehicle 31.5m-behind(same,24km/h) | vehicle 32.4m-ahead(same,23km/h) | vehicle 38.0m-ahead(opp,-0km/h) | yellow_light 27.8m"
42.1,[LANE→LEFT ],"merged left from right lane into left lane | scene: junction=no | vehicle 7.3m-ahead(same,30km/h) | vehicle 15.9m-behind(same,24km/h) | vehicle 16.8m-behind(same,9km/h) | vehicle 29.6m-ahead(same,22km/h) | vehicle 31.0m-behind(same,26km/h) | vehicle 33.2m-ahead(same,22km/h) | vehicle 37.6m-ahead(opp,0km/h) | yellow_light 27.2m"
42.7,[ACTION],"turned left while decelerating for 0.6s | left lane | junction=yes | vehicle 12.5m-ahead(same,13km/h) | vehicle 13.4m-ahead(same,28km/h) | vehicle 14.8m-ahead(same,21km/h) | vehicle 30.7m-ahead(same,3km/h) | vehicle 33.1m-ahead(same,21km/h) | vehicle 34.4m-ahead(opp,0km/h) | vehicle 36.1m-ahead(same,19km/h) | vehicle 37.3m-ahead(opp,-0km/h) | red_light 73.3m"
45.1,[ACTION],"went straight at constant speed for 3.1s | left lane | junction=yes | vehicle 12.0m-ahead(same,0km/h) | vehicle 12.1m-ahead(same,-0km/h) | vehicle 21.4m-ahead(same,-0km/h) | vehicle 30.5m-ahead(opp,17km/h) | vehicle 31.0m-ahead(same,-0km/h) | vehicle 33.1m-ahead(opp,13km/h) | vehicle 34.3m-ahead(same,0km/h) | vehicle 35.2m-ahead(same,0km/h) | red_light 72.3m"
48.4,[ACTION],"went straight at constant speed for 0.7s | left lane | junction=yes | vehicle 9.2m-behind(opp,29km/h) | vehicle 13.8m-ahead(same,0km/h) | vehicle 13.8m-ahead(same,-0km/h) | vehicle 23.1m-ahead(same,0km/h) | vehicle 23.9m-ahead(opp,22km/h) | vehicle 26.7m-behind(opp,27km/h) | vehicle 32.7m-ahead(same,0km/h) | vehicle 33.2m-ahead(same,0km/h) | vehicle 34.1m-ahead(same,-0km/h) | vehicle 36.0m-ahead(opp,13km/h) | vehicle 36.3m-ahead(opp,26km/h) | red_light 71.7m"
52.1,[ACTION],"turned right while decelerating for 0.7s | left lane | junction=yes | vehicle 11.9m-behind(opp,29km/h) | vehicle 20.4m-ahead(same,0km/h) | vehicle 20.9m-ahead(same,0km/h) | vehicle 23.6m-ahead(opp,-0km/h) | vehicle 26.7m-ahead(opp,-0km/h) | vehicle 28.1m-ahead(same,2km/h) | vehicle 28.3m-ahead(same,1km/h) | vehicle 30.0m-ahead(same,0km/h) | vehicle 33.8m-ahead(opp,29km/h) | vehicle 39.5m-ahead(same,-0km/h) | green_light 67.7m"
53.1,[ACTION],"went straight at constant speed for 0.6s | left lane | junction=yes | vehicle 21.8m-ahead(opp,-0km/h) | vehicle 21.9m-ahead(same,-0km/h) | vehicle 22.6m-ahead(same,0km/h) | vehicle 24.7m-ahead(opp,29km/h) | vehicle 24.9m-behind(opp,0km/h) | vehicle 31.6m-ahead(same,0km/h) | vehicle 31.9m-ahead(same,15km/h) | vehicle 32.9m-ahead(same,15km/h) | vehicle 39.9m-behind(opp,17km/h) | green_light 66.2m"
56.0,[TARGET MANEUVER],"turned right while decelerating for 0.6s | left lane | junction=yes | vehicle 15.9m-behind(opp,0km/h) | vehicle 18.9m-behind(opp,28km/h) | vehicle 19.2m-behind(opp,0km/h) | vehicle 23.0m-ahead(opp,29km/h) | vehicle 26.2m-ahead(same,-0km/h) | vehicle 27.2m-behind(opp,27km/h) | vehicle 27.5m-ahead(same,0km/h) | vehicle 31.1m-behind(opp,29km/h) | vehicle 35.9m-ahead(same,0km/h) | green_light 60.5m"
